"SiteId"	"SampId"	"MonitoringProgram"	"Day"	"Month"	"Year"	"Station.nb."	"Watercourse"	"Locality"	"Canton"	"X"	"Y"	"Altitude"	"Sampling.window"	"IBCH.index"	"SPEAR.index"	"Latitude"	"Longitude"
"CSCF_JU_SC_04"	"CSCF_JU_SC_04_2011-03-11"	"Other programs"	11	3	2011	"JU_SC_04"	"Scheulte"	"Courroux"	"Jura"	595162	245906	415	1	16	45.7	47.3639784501388	7.37459298684443
"CSCF_JU_CH_00"	"CSCF_JU_CH_00_2011-03-23"	"Other programs"	23	3	2011	"JU_CH_00"	"R de la Chèvre"	"Monsevelier amont"	"Jura"	605625	245486	575	1	15	52.8	47.3601945945614	7.51309428894072
"CSCF_JU_CH_02"	"CSCF_JU_CH_02_2011-03-23"	"Other programs"	23	3	2011	"JU_CH_02"	"R de la Chèvre"	"Courchapoix amont"	"Jura"	601800	244500	500	1	14	40.8	47.3513477217186	7.46245952980915
"CSCF_JU_LU_01"	"CSCF_JU_LU_01_2011-03-24"	"Other programs"	24	3	2011	"JU_LU_01"	"Lucelle"	"Pleigne Rond Pré"	"Jura"	587833	250433	695	2	11	26.5	47.404600827181	7.27745067731508
"CSCF_JU_LU_03"	"CSCF_JU_LU_03_2011-03-23"	"Other programs"	23	3	2011	"JU_LU_03"	"Lucelle"	"Lucelle amont étang"	"Jura"	585389	251394	600	1	16	44.5	47.4131945394139	7.2450416678336
"CSCF_JU_LU_04"	"CSCF_JU_LU_04_2011-03-23"	"Other programs"	23	3	2011	"JU_LU_04"	"Lucelle"	"Lucelle aval étang"	"Jura"	585810	252483	590	1	17	45.2	47.4229983521073	7.25058533477485
"CSCF_JU_LU_05"	"CSCF_JU_LU_05_2011-03-23"	"Other programs"	23	3	2011	"JU_LU_05"	"Lucelle"	"Moulin Neuf"	"Jura"	591040	254215	510	1	17	49.8	47.4386680721662	7.31986065791766
"CSCF_JU_TB_02"	"CSCF_JU_TB_02_2011-03-24"	"Other programs"	24	3	2011	"JU_TB_02"	"Tabeillon"	"Glovelier amont"	"Jura"	580970	241753	545	1	18	48.6	47.3263681571647	7.18689988644852
"CSCF_JU_AL_01.1"	"CSCF_JU_AL_01.1_2011-03-24"	"Other programs"	24	3	2011	"JU_AL_01.1"	"Allaine"	"Charmoille Source aval"	"Jura"	584791	252798	610	2	15	47	47.4258087515499	7.23707045460506
"CSCF_JU_AL_01.3"	"CSCF_JU_AL_01.3_2011-03-24"	"Other programs"	24	3	2011	"JU_AL_01.3"	"Allaine"	"Touillère amont"	"Jura"	583939	252549	550	1	13	45.4	47.4235489909611	7.22578778983972
"CSCF_JU_AL_04"	"CSCF_JU_AL_04_2011-03-14"	"Other programs"	14	3	2011	"JU_AL_04"	"Allaine"	"Alle pisciculture amont"	"Jura"	577802	252894	456	1	17	35.8	47.4264736800472	7.14444030479199
"CSCF_JU_AL_07"	"CSCF_JU_AL_07_2011-03-12"	"Other programs"	12	3	2011	"JU_AL_07"	"Allaine"	"Porrentruy SEPE aval"	"Jura"	572873	253648	415	1	14	35.4	47.4330705787744	7.07906979191085
"CSCF_JU_AL_11"	"CSCF_JU_AL_11_2011-03-12"	"Other programs"	12	3	2011	"JU_AL_11"	"Allaine"	"Boncourt"	"Jura"	567887	261272	385	1	14	34.6	47.501415615858	7.01243320510245
"CSCF_JU_VE_01"	"CSCF_JU_VE_01_2011-03-30"	"Other programs"	30	3	2011	"JU_VE_01"	"Vendline"	"Vendlincourt Source"	"Jura"	578229	255834	439	1	13	25	47.4529303917153	7.14995616977026
"CSCF_JU_VE_new1"	"CSCF_JU_VE_new1_2011-04-05"	"Other programs"	5	4	2011	"JU_VE_new1"	"Vendline"	"Aval scierie"	"Jura"	578454	256362	438	2	10	27.7	47.4576866208216	7.15291414488826
"CSCF_JU_VE_new2"	"CSCF_JU_VE_new2_2011-04-05"	"Other programs"	5	4	2011	"JU_VE_new2"	"Vendline"	"Aval affl Combe aux Chiens"	"Jura"	578365	256805	437	2	10	31.8	47.4616680314875	7.15171245425533
"CSCF_JU_VE_02"	"CSCF_JU_VE_02_2011-03-31"	"Other programs"	31	3	2011	"JU_VE_02"	"Vendline"	"Bonfol temple"	"Jura"	578585	257950	435	1	12	30.9	47.4719733035931	7.15457515387879
"CSCF_JU_VE_04"	"CSCF_JU_VE_04_2011-03-31"	"Other programs"	31	3	2011	"JU_VE_04"	"Vendline"	"Beurnevésin aval"	"Jura"	576345	261000	419	1	16	39.9	47.4993279267859	7.1247009351532
"CSCF_JU_SO_14"	"CSCF_JU_SO_14_2011-03-11"	"Other programs"	11	3	2011	"JU_SO_14"	"Sorne"	"Delémont camping"	"Jura"	592305	245000	415	1	17	44.9	47.3558024458775	7.33678832554393
"CSCF_NE_2404"	"CSCF_NE_2404_2011-04-17"	"Other programs"	17	4	2011	"NE_2404"	"Doubs"	"La Rasse"	"Neuchâtel"	555060	222896	610	1	16	29.5	47.1555051314411	6.84604287455557
